mandante,societa,conto,importo,data
130,1000,U.1.04.04.01.001,3500.00,2016-01-12
130,1000,U.1.04.04.01.001,3500.00,2016-01-12
130,1000,U.1.04.04.01.001,2000.00,2016-01-12
130,1000,U.1.04.04.01.001,2000.00,2016-01-12
130,1000,U.1.04.04.01.001,311.70,2016-01-12
130,1000,U.1.04.01.02.008,864.30,2016-01-12
130,1000,U.1.04.01.02.003,1000.00,2016-01-12
130,1000,U.1.04.01.02.003,1200.00,2016-01-12
130,1000,U.1.04.04.01.001,1300.00,2016-01-12
130,1000,U.1.04.01.02.003,1447.16,2016-01-12
130,1000,U.1.03.02.11.999,2500.00,2016-01-13
130,1000,U.1.03.02.07.999,8.52,2016-01-13
130,1000,U.1.03.02.09.004,4227.30,2016-01-13
130,1000,U.1.03.02.02.005,539.00,2016-01-14
130,1000,U.1.04.04.01.001,22922.66,2016-01-15
130,1000,U.1.04.04.01.001,4167.75,2016-01-15
130,1000,U.1.03.02.02.001,562.02,2016-01-19
130,1000,U.1.04.01.02.003,685.04,2016-01-19
130,1000,U.1.04.04.01.001,500.00,2016-01-19
130,1000,U.1.04.04.01.001,400.00,2016-01-19
130,1000,U.1.04.04.01.001,2500.00,2016-01-19
130,1000,U.1.04.04.01.001,500.00,2016-01-19
130,1000,U.1.03.01.02.001,2001.10,2016-01-19
130,1000,U.1.04.01.02.003,1015.98,2016-01-20
130,1000,U.1.04.04.01.001,478.32,2016-01-20
130,1000,U.1.04.01.02.003,1408.50,2016-01-20
130,1000,U.1.04.01.02.003,1053.60,2016-01-20
130,1000,U.1.03.02.16.002,20000.00,2016-01-20
130,1000,U.1.03.02.02.001,70.00,2016-07-15
130,1000,U.1.03.02.02.001,140.00,2016-07-15
130,1000,U.1.03.02.02.001,124.60,2016-07-15
130,1000,U.1.03.02.02.001,12.00,2016-07-15
130,1000,U.1.03.02.02.001,129.00,2016-07-15
130,1000,U.1.03.01.02.004,120.00,2016-07-15
130,1000,U.1.03.01.02.004,120.00,2016-07-15
130,1000,U.1.03.01.02.004,120.00,2016-07-15
130,1000,U.1.04.04.01.001,1715.40,2016-01-20
130,1000,U.1.03.02.02.005,2318.00,2016-01-20
130,1000,U.1.03.01.02.002,346.71,2016-01-20
130,1000,U.1.03.02.05.003,2487.50,2016-01-20
130,1000,U.1.03.02.10.001,1250.00,2016-03-07
130,1000,U.1.03.02.11.999,2500.00,2016-04-01
