mandante,societa,conto,importo,data
130,1000,E.9.01.01.02.000,5126.77,2016-01-13
130,1000,E.9.01.03.01.000,1700.00,2016-01-13
130,1000,E.9.01.01.02.000,49.00,2016-01-14
130,1000,E.3.01.03.01.000,6499.80,2016-01-15
130,1000,E.9.02.99.99.000,490.00,2016-01-18
130,1000,E.9.01.01.02.000,2700.50,2016-01-19
130,1000,E.9.01.03.01.000,904.80,2016-01-19
130,1000,E.9.01.99.03.000,911.25,2016-01-19
130,1000,E.3.03.03.04.000,213.56,2016-01-20
130,1000,E.3.05.99.99.000,445.40,2016-01-20
130,1000,E.9.01.01.02.000,580.52,2016-01-20
130,1000,E.9.01.01.02.000,1058.21,2016-01-21
130,1000,E.9.01.01.02.000,2.64,2016-01-22
130,1000,E.9.01.02.01.000,7598.12,2016-01-22
130,1000,E.3.05.99.99.000,3497.52,2016-01-25
130,1000,E.9.01.01.02.000,1790.26,2016-01-25
130,1000,E.9.01.02.01.000,346720.23,2016-01-25
130,1000,E.9.01.99.03.000,101.50,2016-01-25
130,1000,E.9.02.99.99.000,7657.93,2016-01-25
130,1000,E.3.03.03.04.000,0.51,2016-01-26
130,1000,E.3.05.99.99.000,1961.87,2016-01-26
130,1000,E.9.01.01.02.000,42582.10,2016-01-26
130,1000,E.9.01.03.01.000,1903.20,2016-01-26
130,1000,E.9.02.99.99.000,5962.41,2016-01-26
130,1000,E.2.01.01.04.000,2456568.00,2016-01-29
130,1000,E.9.01.99.03.000,22220.51,2016-01-29
130,1000,E.9.01.01.02.000,1996.87,2016-02-01
130,1000,E.9.01.99.03.000,11169.90,2016-02-01
130,1000,E.9.01.01.02.000,35942.47,2016-02-03
130,1000,E.9.01.03.01.000,1575.45,2016-02-03
130,1000,E.9.01.01.02.000,4257.40,2016-02-09
130,1000,E.2.01.01.04.000,10000000.00,2016-02-10
130,1000,E.9.01.01.02.000,3975.00,2016-02-11
130,1000,E.2.01.02.01.000,2818.91,2016-02-12
130,1000,E.9.01.01.02.000,372.33,2016-02-15
130,1000,E.9.01.02.01.000,7480.80,2016-02-22
130,1000,E.3.05.99.99.000,2207.29,2016-02-24
130,1000,E.9.01.01.02.000,8500.80,2016-02-24
130,1000,E.9.01.02.01.000,343096.06,2016-02-24
130,1000,E.9.01.03.01.000,1991.34,2016-02-24
130,1000,E.9.02.99.99.000,13606.50,2016-02-24
130,1000,E.9.01.01.02.000,3402.52,2016-02-25
130,1000,E.9.01.03.01.000,2682.00,2016-02-25
130,1000,E.3.05.99.99.000,536.61,2016-03-01
130,1000,E.9.02.99.99.000,11300.00,2016-03-01
130,1000,E.9.01.01.02.000,396.00,2016-03-03
130,1000,E.9.01.03.01.000,450.00,2016-03-03
130,1000,E.2.01.01.04.000,7538932.00,2016-03-07
130,1000,E.3.05.99.99.000,2875.03,2016-03-07
130,1000,E.9.01.01.02.000,1530.81,2016-03-07
130,1000,E.3.05.99.99.000,394.60,2016-03-08
130,1000,E.9.01.01.02.000,6604.56,2016-03-10
130,1000,E.9.01.01.02.000,420.95,2016-03-11
130,1000,E.9.01.01.02.000,562.67,2016-03-17
130,1000,E.3.05.99.99.000,123.55,2016-03-18
130,1000,E.9.01.01.02.000,3695.01,2016-03-18
130,1000,E.9.01.02.01.000,457205.38,2016-03-18
130,1000,E.9.01.02.02.000,181673.00,2016-03-18
130,1000,E.9.01.02.99.000,25880.23,2016-03-18
130,1000,E.9.01.03.01.000,1591.67,2016-03-18
130,1000,E.3.05.99.99.000,166.36,2016-03-21
130,1000,E.9.01.99.99.000,59628.80,2016-03-21
130,1000,E.2.01.01.03.000,119.18,2016-03-24
130,1000,E.3.05.99.99.000,116.12,2016-03-24
130,1000,E.9.01.02.01.000,353953.70,2016-03-24
130,1000,E.9.02.99.99.000,13560.55,2016-03-24
130,1000,E.9.01.01.02.000,1441.68,2016-03-30
130,1000,E.9.01.03.01.000,208.00,2016-04-01
130,1000,E.9.01.01.02.000,1360.86,2016-04-04
130,1000,E.9.01.01.99.000,52.26,2016-04-04
130,1000,E.9.01.01.02.000,831.60,2016-04-05
130,1000,E.9.01.03.01.000,1575.45,2016-04-05
130,1000,E.9.01.01.02.000,660.00,2016-04-07
130,1000,E.9.01.01.99.000,15.00,2016-04-07
130,1000,E.9.01.01.02.000,4459.18,2016-04-08
130,1000,E.9.01.01.99.000,37.99,2016-04-08
130,1000,E.9.01.01.02.000,7632.31,2016-04-12
130,1000,E.9.01.01.99.000,133.08,2016-04-12
130,1000,E.3.01.03.01.000,6499.80,2016-04-13
130,1000,E.3.05.99.99.000,294.80,2016-04-13
130,1000,E.9.01.03.01.000,3581.76,2016-04-15
130,1000,E.3.03.03.04.000,273.38,2016-04-18
130,1000,E.3.05.99.99.000,116.12,2016-04-18
130,1000,E.9.01.01.02.000,4511.17,2016-04-18
130,1000,E.9.01.01.99.000,291.64,2016-04-18
130,1000,E.9.01.03.01.000,1000.00,2016-04-18
130,1000,E.3.03.03.04.000,150.29,2016-04-19
130,1000,E.3.05.99.99.000,10.98,2016-04-20
130,1000,E.9.01.02.01.000,472963.34,2016-04-20
130,1000,E.9.01.02.02.000,166563.17,2016-04-20
130,1000,E.9.01.02.99.000,26020.43,2016-04-20
130,1000,E.3.05.02.03.000,753.79,2016-04-21
130,1000,E.3.05.99.99.000,1294.84,2016-04-21
130,1000,E.9.01.01.99.000,23.64,2016-04-21
130,1000,E.9.01.02.01.000,352915.18,2016-04-21
130,1000,E.9.01.03.01.000,1720.00,2016-04-21
130,1000,E.9.02.99.99.000,13630.85,2016-04-21
130,1000,E.9.01.01.02.000,1340.15,2016-04-22
130,1000,E.9.01.01.02.000,1340.15,2016-04-26
130,1000,E.3.03.03.04.000,0.79,2016-04-28
130,1000,E.9.01.01.02.000,2773.98,2016-04-28
130,1000,E.9.01.01.99.000,84.38,2016-04-28
130,1000,E.9.01.03.01.000,241.67,2016-04-28
130,1000,E.9.01.99.03.000,33686.50,2016-04-28
130,1000,E.9.01.01.02.000,739.20,2016-05-02
130,1000,E.9.01.01.02.000,1496.93,2016-05-04
130,1000,E.9.01.01.99.000,33.69,2016-05-04
130,1000,E.9.01.03.01.000,1508.00,2016-05-04
130,1000,E.3.05.02.03.000,2542.79,2016-05-06
130,1000,E.9.01.01.02.000,9208.77,2016-05-06
130,1000,E.9.01.01.99.000,209.31,2016-05-06
130,1000,E.2.01.02.01.000,2731.73,2016-05-09
130,1000,E.9.01.01.02.000,284.19,2016-05-09
130,1000,E.9.01.01.02.000,674.40,2016-05-11
130,1000,E.3.05.02.03.000,80.82,2016-05-12
130,1000,E.9.01.01.02.000,4480.80,2016-05-12
130,1000,E.9.01.01.99.000,255.92,2016-05-12
130,1000,E.9.01.03.01.000,241.67,2016-05-12
130,1000,E.9.01.01.02.000,3982.00,2016-05-13
130,1000,E.9.01.01.99.000,56.34,2016-05-13
130,1000,E.9.01.03.01.000,4357.20,2016-05-18
130,1000,E.3.05.99.99.000,25.62,2016-05-19
130,1000,E.9.01.02.01.000,295145.22,2016-05-19
130,1000,E.9.01.02.02.000,141649.75,2016-05-19
130,1000,E.9.01.02.99.000,22208.61,2016-05-19
130,1000,E.9.01.03.01.000,208.00,2016-05-19
130,1000,E.9.02.99.99.000,5225.00,2016-05-19
130,1000,E.9.01.01.02.000,1942.27,2016-05-23
130,1000,E.9.01.01.99.000,119.37,2016-05-23
130,1000,E.3.05.02.03.000,353.08,2016-05-24
130,1000,E.3.05.99.99.000,2034.22,2016-05-24
130,1000,E.9.01.02.01.000,671365.52,2016-05-24
130,1000,E.9.01.02.02.000,145066.41,2016-05-24
130,1000,E.9.01.02.99.000,24509.29,2016-05-24
130,1000,E.9.02.99.99.000,13681.86,2016-05-24
130,1000,E.2.01.01.01.000,138544.10,2016-05-25
130,1000,E.2.01.01.03.000,1165.92,2016-05-25
130,1000,E.3.05.02.01.000,90996.55,2016-05-25
130,1000,E.3.05.99.99.000,597.47,2016-05-25
130,1000,E.9.01.99.03.000,1084.00,2016-05-26
130,1000,E.3.05.99.99.000,66.67,2016-05-27
130,1000,E.9.01.01.02.000,796.09,2016-05-27
130,1000,E.9.01.01.99.000,13.43,2016-05-27
130,1000,E.9.01.01.02.000,10828.78,2016-05-30
130,1000,E.9.01.01.99.000,245.84,2016-05-30
130,1000,E.9.01.01.02.000,1680.09,2016-05-31
130,1000,E.9.01.01.02.000,907.01,2016-06-01
130,1000,E.9.01.01.99.000,9.33,2016-06-01
130,1000,E.9.01.03.01.000,1350.00,2016-06-01
130,1000,E.9.01.01.99.000,7.60,2016-06-06
130,1000,E.9.02.99.99.000,236.93,2016-06-06
130,1000,E.3.05.99.99.000,140.85,2016-06-07
130,1000,E.9.01.02.01.000,238071.96,2016-06-07
130,1000,E.9.01.02.02.000,123943.36,2016-06-07
130,1000,E.9.01.02.99.000,24870.07,2016-06-07
130,1000,E.9.02.99.99.000,62.01,2016-06-07
130,1000,E.2.01.01.04.000,14400000.00,2016-06-08
130,1000,E.9.01.01.02.000,1158.81,2016-06-08
130,1000,E.9.01.01.99.000,26.34,2016-06-08
130,1000,E.9.02.99.99.000,51.47,2016-06-08
130,1000,E.9.01.01.02.000,4434.12,2016-06-09
130,1000,E.9.01.01.99.000,267.54,2016-06-09
130,1000,E.9.02.99.99.000,57.13,2016-06-09
130,1000,E.2.01.01.04.000,600000.00,2016-06-10
130,1000,E.9.01.01.02.000,1165.41,2016-06-10
130,1000,E.9.01.01.02.000,1081.30,2016-06-13
130,1000,E.9.01.01.99.000,24.58,2016-06-13
130,1000,E.9.01.01.02.000,2983.20,2016-06-14
130,1000,E.9.01.01.99.000,67.80,2016-06-14
130,1000,E.9.02.99.99.000,186.05,2016-06-14
130,1000,E.9.01.03.01.000,241.67,2016-06-15
130,1000,E.9.02.99.99.000,66.57,2016-06-16
130,1000,E.9.01.01.02.000,185.08,2016-06-17
130,1000,E.9.01.01.99.000,4.21,2016-06-17
130,1000,E.9.01.03.01.000,208.00,2016-06-17
130,1000,E.9.01.99.03.000,4916.00,2016-06-17
130,1000,E.9.01.01.02.000,440.00,2016-06-20
130,1000,E.9.01.01.02.000,45890.31,2016-06-21
