mandante,societa,conto,importo,data
130,1000,E.9.01.02.01.001,250109.79,2014-01-21
130,1000,E.9.01.02.02.001,128307.06,2014-01-21
130,1000,E.9.01.02.99.999,15730.32,2014-01-21
130,1000,U.1.01.01.01.002,485731.67,2014-01-21
130,1000,U.1.01.01.01.003,7350.58,2014-01-21
130,1000,U.1.01.01.01.006,21996.04,2014-01-21
130,1000,U.1.01.01.01.006,6285.87,2014-01-21
130,1000,U.1.01.01.01.006,260781.67,2014-01-21
130,1000,U.1.01.01.01.006,1463.21,2014-01-21
130,1000,U.1.01.01.01.008,50422.94,2014-01-21
130,1000,U.1.01.02.02.001,1357.21,2014-01-21
130,1000,U.1.01.01.01.002,44354.72,2014-01-22
130,1000,U.1.01.01.01.002,55623.55,2014-01-22
130,1000,U.1.01.01.01.002,2776.37,2014-01-22
130,1000,U.1.01.01.01.002,77359.11,2014-01-22
130,1000,U.1.01.01.01.003,4043.68,2014-01-22
130,1000,U.1.01.01.01.004,60.00,2014-01-22
130,1000,U.1.01.01.01.006,6938.90,2014-01-22
130,1000,U.1.01.01.01.006,744.60,2014-01-22
130,1000,U.1.01.01.01.006,13061.10,2014-01-22
130,1000,U.1.01.01.01.006,9511.76,2014-01-22
130,1000,U.1.01.02.02.001,3593.17,2014-01-22
130,1000,U.1.01.02.02.003,7623.70,2014-01-22
130,1000,U.1.03.02.02.001,13.60,2014-01-22
130,1000,U.1.03.02.12.003,57246.88,2014-01-22
130,1000,U.7.01.02.99.999,435.93,2014-01-22
130,1000,U.7.01.99.99.999,22642.98,2014-01-22
130,1000,U.1.01.02.01.999,80.78,2014-01-24
130,1000,U.1.03.02.10.001,2019.38,2014-01-24
130,1000,U.1.01.02.01.001,72035.81,2014-01-31
130,1000,U.1.01.02.01.001,1526.56,2014-01-31
130,1000,U.1.01.02.01.001,169878.43,2014-01-31
130,1000,U.1.01.02.01.003,18114.74,2014-01-31
130,1000,U.1.01.02.01.003,7104.69,2014-01-31
130,1000,U.1.01.02.01.003,176.55,2014-01-31
130,1000,U.7.01.02.02.001,90452.18,2014-01-31
130,1000,U.7.01.02.02.001,17636.32,2014-01-31
130,1000,U.7.01.02.02.001,3579.05,2014-01-31
130,1000,U.7.01.02.99.999,98.39,2014-01-31
130,1000,U.7.01.02.99.999,122.29,2014-01-31
130,1000,U.7.01.02.99.999,363.43,2014-01-31
130,1000,U.1.03.01.02.002,566.94,2014-02-03
130,1000,U.1.01.02.01.001,442.00,2014-02-04
130,1000,U.1.01.02.01.001,4680.00,2014-02-04
130,1000,U.1.01.02.01.001,103.00,2014-02-04
130,1000,U.1.01.02.01.001,9102.13,2014-02-04
130,1000,U.1.02.01.01.001,63208.16,2014-02-04
130,1000,U.1.02.01.01.001,545.20,2014-02-04
130,1000,U.1.02.01.01.001,34592.57,2014-02-04
130,1000,U.7.01.02.01.001,624.16,2014-02-04
130,1000,U.7.01.02.01.001,6820.29,2014-02-04
130,1000,U.7.01.02.01.001,224962.19,2014-02-04
130,1000,U.7.01.02.01.001,17703.15,2014-02-04
130,1000,U.7.01.02.02.001,4548.87,2014-02-04
130,1000,U.7.01.02.99.999,3027.60,2014-02-04
130,1000,U.1.01.02.01.999,80.78,2014-02-05
130,1000,U.1.03.02.10.001,2019.38,2014-02-05
130,1000,U.1.01.02.01.001,16400.21,2014-02-06
130,1000,U.1.01.02.01.001,8084.29,2014-02-06
130,1000,U.1.01.02.01.001,597.08,2014-02-06
130,1000,U.1.01.02.01.002,359.57,2014-02-06
130,1000,U.7.01.02.02.001,11722.23,2014-02-06
130,1000,U.7.01.02.02.001,298.81,2014-02-06
130,1000,U.7.01.02.99.999,594.89,2014-02-06
130,1000,U.7.01.02.99.999,145.00,2014-02-06
130,1000,U.7.01.02.99.999,10579.27,2014-02-06
130,1000,U.1.01.02.01.999,48.33,2014-02-11
