mandante,societa,conto,importo,data
130,1000,U.7.01.99.03.001,75000.00,2017-01-04
130,1000,E.9.02.99.99.999,428.13,2017-01-09
130,1000,U.1.04.01.04.001,13903.51,2017-01-10
130,1000,E.9.01.01.02.001,86.81,2017-01-11
130,1000,E.9.01.01.99.999,1.05,2017-01-11
130,1000,E.9.01.03.01.001,1575.45,2017-01-11
130,1000,E.9.01.99.03.001,287.17,2017-01-11
130,1000,U.1.03.01.02.001,255.26,2017-01-11
130,1000,U.1.03.02.01.008,22581.88,2017-01-11
130,1000,U.1.03.02.02.001,287.17,2017-01-11
130,1000,U.1.03.02.09.004,29.28,2017-01-11
130,1000,U.1.03.02.11.999,9994.65,2017-01-11
130,1000,U.7.01.01.02.001,30329.95,2017-01-11
130,1000,E.3.03.03.04.001,154.78,2017-01-12
130,1000,E.9.01.01.02.001,409.20,2017-01-12
130,1000,E.9.01.01.99.999,12.18,2017-01-12
130,1000,E.9.01.03.01.001,780.00,2017-01-12
130,1000,E.9.02.99.99.999,65.02,2017-01-12
130,1000,U.1.01.02.01.001,5959.66,2017-01-12
130,1000,U.1.03.01.01.001,576.00,2017-01-12
130,1000,U.1.03.02.07.008,2269.20,2017-01-12
130,1000,U.1.03.02.11.999,4758.00,2017-01-12
130,1000,U.1.09.01.01.001,17219.47,2017-01-12
130,1000,E.2.01.02.01.001,12002.97,2017-01-13
130,1000,E.2.01.01.03.002,1798.72,2017-01-16
130,1000,E.3.01.03.01.003,6499.80,2017-01-16
130,1000,E.9.01.01.02.001,500.33,2017-01-18
130,1000,E.9.01.01.99.999,11.37,2017-01-18
130,1000,U.1.03.01.01.001,84.62,2017-01-18
130,1000,U.1.03.02.07.006,41.91,2017-01-18
130,1000,U.1.03.02.10.001,1292.00,2017-01-18
130,1000,U.1.03.02.13.004,2774.57,2017-01-18
130,1000,U.1.04.01.02.003,3857.04,2017-01-18
130,1000,U.1.04.04.01.001,11271.25,2017-01-18
130,1000,U.7.01.01.99.999,14.01,2017-01-18
130,1000,E.9.01.01.02.001,5226.22,2017-01-19
130,1000,E.9.01.01.99.999,21.86,2017-01-19
130,1000,U.1.03.02.05.003,12495.60,2017-01-19
130,1000,U.1.03.02.07.006,26316.62,2017-01-19
130,1000,U.1.03.02.10.001,1250.00,2017-01-19
130,1000,U.7.01.01.99.999,102.09,2017-01-19
130,1000,E.3.05.99.99.999,1265.87,2017-01-20
130,1000,E.9.01.01.02.001,5210.59,2017-01-20
130,1000,E.9.01.01.99.999,123.51,2017-01-20
130,1000,E.9.02.99.99.999,1655.67,2017-01-20
130,1000,U.1.03.01.01.001,5001.40,2017-01-20
130,1000,U.1.03.02.02.999,6430.00,2017-01-20
130,1000,U.1.03.02.13.999,3034.43,2017-01-20
130,1000,U.1.03.02.19.001,9648.98,2017-01-20
130,1000,U.1.03.02.19.010,10490.78,2017-01-20
130,1000,U.7.01.99.03.001,4500.00,2017-01-20
130,1000,E.2.01.02.01.001,2492.80,2017-01-23
130,1000,E.3.05.02.03.005,60293.78,2017-01-23
130,1000,E.3.05.99.99.999,21.96,2017-01-23
130,1000,E.9.01.01.02.001,34636.15,2017-01-23
130,1000,E.9.01.01.99.999,787.18,2017-01-23
130,1000,E.9.01.02.01.001,501926.49,2017-01-23
130,1000,E.9.01.02.02.001,129336.83,2017-01-23
130,1000,E.9.01.02.99.999,22592.55,2017-01-23
130,1000,E.9.02.99.99.999,5161.62,2017-01-23
130,1000,U.1.01.01.01.002,562943.51,2017-01-23
130,1000,U.1.01.01.01.003,10774.96,2017-01-23
130,1000,U.1.01.01.01.004,186999.00,2017-01-23
130,1000,U.1.01.01.01.006,257167.88,2017-01-23
130,1000,U.1.01.01.01.008,84027.85,2017-01-23
130,1000,U.1.01.02.02.001,3979.38,2017-01-23
130,1000,U.1.03.02.01.001,656603.14,2017-01-23
130,1000,U.1.03.02.01.002,373785.10,2017-01-23
130,1000,U.1.03.02.09.004,6357.33,2017-01-23
130,1000,U.1.03.02.09.011,7436.92,2017-01-23
130,1000,U.1.03.02.11.999,5725.20,2017-01-23
130,1000,U.1.03.02.12.003,49114.46,2017-01-23
130,1000,U.1.03.02.13.001,177978.16,2017-01-23
130,1000,U.1.03.02.13.999,300.83,2017-01-23
130,1000,U.1.04.02.03.001,21984.08,2017-01-23
130,1000,U.7.01.01.02.001,10872.66,2017-01-23
130,1000,U.7.01.02.99.999,19932.47,2017-01-23
130,1000,U.7.01.99.99.999,64123.15,2017-01-23
130,1000,U.7.02.99.99.999,1655.67,2017-01-23
130,1000,E.9.01.02.01.001,94461.03,2017-01-24
130,1000,E.9.01.03.01.001,613.21,2017-01-24
130,1000,U.1.04.02.01.001,528707.43,2017-01-24
130,1000,U.7.02.99.99.999,5161.62,2017-01-24
130,1000,E.9.01.01.02.001,2177.51,2017-01-25
130,1000,E.9.01.01.99.999,189.71,2017-01-25
130,1000,U.1.01.01.02.002,38274.49,2017-01-25
130,1000,U.1.03.01.01.001,354.00,2017-01-25
130,1000,U.1.03.01.02.001,1391.17,2017-01-25
130,1000,U.1.03.02.02.005,5000.00,2017-01-25
130,1000,U.1.04.04.01.001,8200.00,2017-01-25
130,1000,E.9.01.01.02.001,10420.78,2017-01-26
130,1000,E.9.01.01.99.999,230.34,2017-01-26
130,1000,U.1.03.02.07.004,56201.97,2017-01-26
130,1000,U.1.03.02.07.999,1586.00,2017-01-26
